Instruction,Output
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:By combining improved fabrication methods and an advanced active region design, a record-breaking 10 THz QCL showed operation up to 214 K in pulsed mode and 151 K in cw mode.",10 THz
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The 4-well module was grown through molecular beam epitaxy (MBE) in the GaAs/Al 0.15Ga0.85As material system, resulting in a resonant-phonon laser with an active region composed of 178 recurring periods.		",GaAs/Al 0.15Ga0.85As
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our laser setup follows a GaAs/Al0.15Ga0.85As heterostructure, resembling that detailed in Ref. [6], apart from a nearly 2% increase in the thicknesses of all layers. 		",GaAs/Al0.15Ga0.85As
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A 4.2 THz quantum cascade laser (QCL) was fabricated using a unique scattering-assisted injection and resonant-phonon depopulation approach, resulting.",resonant-phonon
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The team's efforts paid off as their terahertz quantum cascade laser achieved an unprecedented output power of 1.8 W in continuous wave mode, setting a new benchmark for future research.",1.8 W
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Resonant-phonon terahertz quantum-cascade lasers operating up to a heat-sink temperature of 126 K are demonstrated.		",126 K
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our findings show that by incorporating a bound-to-continuum active region and aluminum-based surface-plasmon waveguide design, we were able to achieve continuous-wave operation of terahertz (THz) quantum cascade lasers with emission at 3.9 THz.",bound-to-continuum
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The study compared the performance of the lasers at different temperatures and found optimal results at 311 K in pulsed mode and at 127 K in continuous-wave mode.","311 K, 127 K"
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The QCL now includes a nine-well period consisting of In0.7Al0.3As/GaSb material layers for increased output power.",In0.7Al0.3As/GaSb 
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:For eleven wafers based on SiC/SiGe heterostructures for lasers with target frequencies of 3.22 and 4.11 THz, we observed a blue shift of the emission frequency from the center to the edge of the wafer.","3.22 THz, 4.11 THz"
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The results indicate that the most efficient 6.4-mm-long device operating at 5.98 THz has a low threshold current density of 200 A/cm2 at 7 K.",5.98 THz
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At B = 12 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 195K for the devices with Cu waveguide.",LO-phonon
